n_processo,J1-DV,J2-DV,J3-DV,J4-DV,J5-DV
65/24.0GEBRG.G1,Confiante,Confiante,Confiante,Confiante,Confiante
123/22.5PACTX.E1,Confiante,Confiante,Não Confiante,Confiante,Confiante
5052/21.7JAPRT-A.P1,Confiante,Confiante,Confiante,Não Confiante,Confiante
340/21.5TXLSB-E.L1-9,Confiante,Confiante,Confiante,Não Confiante,Confiante
87/25.3PGSXL-A.L1-5,Confiante,Não Confiante,Não Confiante,Confiante,Confiante
