n_processo,J1-BoC,J2-BoC,J3-BoC,J4-BoC,J5-BoC
17126/26.0T8PRT.P1,Confiante,Confiante,Confiante,Confiante,Confiante
13951/22.2T8LSB-A.L1.S1,Confiante,Confiante,Confiante,Confiante,Confiante
1627/20.0T8PVZ.P1,Confiante,Confiante,Confiante,Confiante,Confiante
1980/19.8T8CTB.C1,Confiante,Confiante,Confiante,Confiante,Confiante
18203/23.8T8SNT.L1-6,Confiante,Confiante,Confiante,Confiante,Confiante
