n_processo,J1-BoC,J2-BoC,J3-BoC,J4-BoC,J5-BoC
17126/26.0T8PRT.P1,,"Decidida a improcedência da impugnação da matéria de facto, quer a invocada pela autora, quer a alegada pela ré/reconvinte, em face do quadro normativo relativo ao contrato de empreitada e ao regime dos contratos em geral, verifica-se que a autora tem direito a receber os trabalhos que realizou e não pagos e, a ré/reconvinte a ser indemnizada pelo valor correspondente à quantia, a liquidar posteriormente, necessária para a eliminação dos defeitos.",,,
13951/22.2T8LSB-A.L1.S1,"Decisão desfavorável ao recurso.
Mantém-se aquilo que foi dito na primeira anotação. Aqui surge a agravante de haver um triplo grau de jurisdição. a Primeira instância declarou-se competente.Interposto recurso, o Tribunal da Relação revogou essa decisão (decisão favorável ao recorrente). Interposto recurso de revista para o Supremo Tribunal de Justiça pela parte então vencida, este último Tribunal manteve o acórdão do Tribunal da Relação de","A cláusula compromissória - acordo pelo qual as respectivas partes estabelecem que qualquer litígio que venha a surgir entre elas, emergente, desse contrato, será decidido mediante recurso a tribunal arbitral - apenas é vinculativo para as respectivas partes e não extensivo a terceiros que naquele contrato não intervieram. O incumprimento/inobservância do dever de submeter o litígio a arbitragem, quando alegada, obsta a que o tribunal estadual possa conhecer desse litígio entre as partes vinculadas pela cláusula compromissória. Quanto ao litígio relativo a quem não é parte na convenção de arbitragem, nada impede que seja apreciado e decidido nos tribunais estaduais.",,,
1627/20.0T8PVZ.P1,"A decisão é desfavorável ao recorrente. Talvez fosse preferível utilizar a nomenclatura: recurso procedente, recurso improcedente e recurso parcialmente procedente, na óptica de um juiz, na medida em que, sendo uma condenação parcial a decisão da primeira instância, existiram nessa fase vencedores e vencidos. Além disso, desconhecendo os casos futuros, existe a possibilidade de ambas as partes interporem recurso e o Tribunal de Recurso pode decidir favoravelmente quanto ao recurso de uma das partes e desfavoravelmente quanto à outra [ou introduzindo mais aleatoriedade julgar parcialmente procedentes ambos os recursos]","Baseando-se o recurso da apelante na pretendida alteração da matéria de facto, improcedendo esta alteração fica a faltar fundamento para modificar a decisão jurídica prolatada pela 1ª instância, julgando-se, por isso, o recurso improcedente.",,,
1980/19.8T8CTB.C1,,"Considerando a alteração da matéria de facto operada pela 2ª instância, ficando demonstrados os danos provocados, verifica-se uma situação de responsabilidade contratual com o consequente dever de indemnizar. Tendo a ré sociedade sido liquidada, o cumprimento do passivo compete aos sócios representados pelo liquidatário.
Provada a ocorrência de danos sem se apurar o respectivo quantum há lugar a condenação em liquidação posterior nos termos do artº 609º nº 2 do CPC",,,
18203/23.8T8SNT.L1-6,,O enquadramento jurídico contratual efectuado pela instância de recurso mostra-se correcto em termos de facultar ao gestor do centro comercial obter a posse da loja perante situação de grave incumprimento dos deveres contratuais  assumidos pelo lojista.,,,
